customer_id,name,region,email,phone,registration_date
1,Swathi Senthil,Hyderabad,swathi@mail.com,9142897590,2024-02-06
2,Nithin kumar,Mumbai,nithin@mail.com,9460958231,2024-06-17
3,Priyanka Murugesan,Chennai,priyakaa@mail.com,9747319009,2024-11-29
4,Vanitha,Hyderabad,vanivijay@mail.com,9718468073,2024-03-23
5,Preetha Rajavel,Mumbai,preetha56@mail.com,9151127624,2023-08-28
6,Soundharya,Hyderabad,soundhuu78@mail.com,9259573997,2024-12-27
7,Harish Raj,Hyderabad,harii45@mail.com,9660970971,2024-07-17
8,Theshitha,Delhi,theshitha785@mail.com,9863136847,2024-09-07
9,Selva Mathi,Hyderabad,vselvaimathi@mail.com,9565312142,2023-11-14
10,Yuvasri S,Hyderabad,yuvasris@mail.com,9102556236,2024-02-24
